id,name,category,latitude,longitude,is_verified
99,Sree Priya Multi Speciality Hospital,district_emergency,17.4415414,78.4461255,1
100,B.M.Orthopaedic Hospital,district_emergency,13.1181104,80.1499411,1
101,Ashoka Clinic,district_emergency,12.2922036,76.6423443,1
102,MES Hospital,district_emergency,11.0611294,76.3442394,1
103,Dhanvantari Hospitals Pvt.Ltd.,district_emergency,19.1645468,73.2393372,1
106,Landour Community hospital,district_emergency,30.4589803,78.0951087,1
108,"Vasan Eye Care Hospital, Vadapalani",district_emergency,13.0495316,80.211027,1
110,Gian Sagar Hospital,district_emergency,30.5285796,76.6716594,1
111,JJ Hospital,district_emergency,13.0571293,80.1942138,1
112,Regional Institute of Ophthalmology,district_emergency,8.4998439,76.9410501,1
113,Dr Govindans Hospital,district_emergency,8.4986554,76.9431315,1
114,govt. hospital uggi,district_emergency,31.2133989,75.4265073,1
115,Thottabhagam Hospital,district_emergency,9.3852283,76.6153372,1
116,Manipal Northside Hospital,district_emergency,13.0011275,77.5639285,1
117,Rahmat Ali hospital,district_emergency,17.3672265,78.4859878,1
118,"Aurvedic Hospital, Maholi",district_emergency,31.3548222,77.3876512,1
119,Saritha Clinic,district_emergency,17.2557178,80.1457999,1
120,Janata Hospital,district_emergency,17.2481922,80.1464407,1
121,Praja vaidyasala (YRK),district_emergency,17.2411982,80.1384703,1
122,Base Hospital Delhi Cantt,district_emergency,28.6082403,77.1366732,1
123,Satya Hospital,district_emergency,17.407574,78.512174,1
124,Syamala Hospital,district_emergency,17.2480311,80.1513428,1
125,Ramanathan Hospital,district_emergency,10.7729537,79.1331354,1
126,Silent Valley Hospital,district_emergency,10.0794143,77.1674719,1
127,"S.B. Hospital Urology, Nephrology & Fertility Research Centre",district_emergency,10.7755458,79.1254,1
129,Nakrekal,district_emergency,17.1611289,79.4348558,1
130,Government Primary Health Centre,district_emergency,12.9503234,77.6162619,1
131,Innova Children's Heart Hospital,district_emergency,17.4293162,78.533452,1
133,AVM Medical Centre,district_emergency,10.7876968,79.1384135,1
134,Divakars speciality Hospital,district_emergency,12.9100629,77.5924585,1
135,Shashi,district_emergency,17.2474829,80.1508547,1
136,eye hospital,district_emergency,17.2491831,80.1513059,1
137,District Govt Hospital,district_emergency,17.2498453,80.1521517,1
138,KRA Hospital,district_emergency,10.7869754,79.1397985,1
139,Hema Poly Clinic,district_emergency,12.960765,77.7137961,1
140,Adichunchanagiri Hospital,district_emergency,12.9661122,76.7228216,1
141,Sardar Patel Cantonment General Hospital,district_emergency,18.5027163,73.87712,1
142,TMA Pai Hospital,district_emergency,13.3326012,74.7471694,1
143,Vishnu Clinic,district_emergency,17.2530296,80.1403907,1
144,Praja Vaidyasala,district_emergency,17.2574018,80.149205,1
145,Kanakadurga clinic,district_emergency,17.2617203,80.1435632,1
146,Dr. Babasaheb Ambedkar Cantonment General Hospital,district_emergency,18.569025,73.8486994,1
147,Alphonsa Eye Hospital,district_emergency,9.7088081,76.6765231,1
148,Command Hospital Southern Command,district_emergency,18.5005828,73.8894328,1
149,Neomed Hospital,district_emergency,9.9291508,78.148482,1
150,General Hospital,district_emergency,9.711455,76.6809641,1
151,BMTC Hospital,district_emergency,12.9234317,77.5923374,1
152,District Hospital,district_emergency,16.8254015,75.69243,1
153,Borivali West,district_emergency,19.2298129,72.8471376,1
155,KMCH Hospital,district_emergency,11.2788797,77.5848796,1
156,Vasavi ENT Hospital,district_emergency,17.40681,78.4645023,1
157,Mahavir Hospital and Research Centre,district_emergency,17.4036641,78.4570626,1
158,Old Apollo Hospital,district_emergency,17.3985586,78.4814113,1
159,Krishna Children's Hospital,district_emergency,17.4021334,78.4625295,1
160,St Mary's Hospital,district_emergency,17.2378501,80.1457789,1
161,Lumbini Hospital,district_emergency,17.2503535,80.1398262,1
162,"Mar Kavukatt Memorial Hospital, Anthinad",district_emergency,9.7473158,76.703386,1
163,"Medilink Hospital, Ahmedabad",district_emergency,23.0173915,72.5304396,1
164,Sri Charaka Ayurveda,district_emergency,17.2519673,80.1577268,1
165,Saint soham hospital private,district_emergency,28.7983668,77.0352715,1
166,Dr. Indra Hospital,district_emergency,28.7980095,77.0354003,1
167,Dr. Rajeev Hospital,district_emergency,28.8006984,77.0353788,1
169,Sri Sivani,district_emergency,17.2520808,80.1411098,1
170,Rohith,district_emergency,17.2475856,80.1488203,1
171,Lalitha,district_emergency,17.2477655,80.1485128,1
172,Usha Hospital,district_emergency,17.2481896,80.1474742,1
173,City Hospital,district_emergency,17.2480698,80.1473508,1
174,Kavya Hospital,district_emergency,17.2481373,80.1472183,1
175,Surya Hospital,district_emergency,17.2482259,80.1470769,1
176,SAI Maruthi,district_emergency,17.2483483,80.1462684,1
177,Hanuman,district_emergency,17.249002,80.146059,1
178,Jabilli Mother and Child Hospital,district_emergency,17.2493484,80.1450913,1
179,Medinova,district_emergency,17.2507323,80.1439842,1
180,Spandana Heart Care Centre,district_emergency,17.2510535,80.14348,1
181,Kinnera Hospital,district_emergency,17.251074,80.1433392,1
183,St Anns,district_emergency,17.251107,80.12465,1
184,Sassoon Hospital,district_emergency,18.5251434,73.8695664,1
185,Buggaveeti ENT,district_emergency,17.2477468,80.1497409,1
186,Guru Hospital,district_emergency,17.2480618,80.1485574,1
